시군구명,시도명,관광지명,구분,방문자수,위도(Latitude),경도(Longtitude),도로명주소
성북구,서울특별시,길상사(서울),역사관광지,54209,37.599292,127.000937,서울특별시 성북구 성북동
종로구,서울특별시,북촌한옥마을,역사관광지,21724,37.582841,126.983267,서울특별시 종로구 계동
종로구,서울특별시,런던베이글뮤지엄,음식점,17272,37.581591,126.988168,서울특별시 종로구 계동
중구,서울특별시,하이커 그라운드,문화시설,17076,37.568482,126.985953,서울특별시 중구 다동
용산구,서울특별시,남산서울타워,건축/조형물,14590,37.551169,126.988227,서울특별시 용산구 용산2가동
중구,서울특별시,덕수궁,역사관광지,13599,37.565804,126.975159,서울특별시 중구 정동
종로구,서울특별시,익선동 한옥거리,체험관광지,12059,37.574483,126.990085,서울특별시 종로구 익선동
강북구,서울특별시,도선사(서울),역사관광지,11976,37.662121,127.012111,서울특별시 강북구 우이동
종로구,서울특별시,그라운드시소 서촌,문화시설,11789,37.560642,126.983196,서울특별시 중구 소공동
중구,서울특별시,명동,체험관광지,11704,37.560934,126.986221,서울특별시 중구 명동
은평구,서울특별시,진관사(서울),역사관광지,11450,37.636982,126.940561,서울특별시 은평구 진관동
서대문구,서울특별시,홍제폭포,자연관광지,10896,37.591322,126.941656,서울특별시 서대문구 홍제동
영등포구,서울특별시,문래창작촌,체험관광지,10562,37.512683,126.891465,서울특별시 영등포구 문래동
종로구,서울특별시,어둠속의대화 북촌점,문화시설,10405,37.582494,126.98226,서울특별시 종로구 가회동
종로구,서울특별시,동대문 종합시장·동대문 쇼핑타운,쇼핑,10378,37.570971,127.007998,서울특별시 종로구 종로5·6가동
강서구,서울특별시,서울식물원,자연관광지,10336,37.570691,126.835845,서울특별시 강서구 마곡동
성동구,서울특별시,섬세이 테라리움,문화시설,9753,37.542289,127.042578,서울특별시 성동구 성수1가1동
종로구,서울특별시,창경궁,역사관광지,9662,37.578932,126.995033,서울특별시 종로구 와룡동
성동구,서울특별시,서울숲,휴양관광지,9619,37.544422,127.037412,서울특별시 성동구 성수1가1동
서초구,서울특별시,양재꽃시장,쇼핑,9495,37.462364,127.042129,서울특별시 서초구 양재1동
종로구,서울특별시,경복궁,역사관광지,9396,37.579617,126.977041,서울특별시 종로구 세종로동
