시도명,시군구명,행정동명,내외국인 구분,전체 대비 야간관광 방문객 수 비율,순위
서울특별시,은평구,갈현1동,내국인,53.4,1
서울특별시,중구,신당5동,내국인,53.34,2
서울특별시,용산구,이태원1동,내국인,52.99,3
서울특별시,관악구,서림동,내국인,50.55,4
서울특별시,관악구,청림동,내국인,50.46,5
서울특별시,은평구,응암2동,내국인,50.27,6
서울특별시,강동구,천호3동,내국인,49.83,7
서울특별시,은평구,갈현2동,내국인,49.49,8
서울특별시,은평구,신사1동,내국인,49.43,9
서울특별시,구로구,가리봉동,내국인,49.43,10
서울특별시,동작구,상도4동,내국인,49.42,11
서울특별시,용산구,용문동,내국인,49.42,12
서울특별시,관악구,중앙동,내국인,48.92,13
서울특별시,서대문구,북가좌1동,내국인,48.83,14
서울특별시,성동구,왕십리2동,내국인,48.83,15
서울특별시,관악구,보라매동,내국인,48.78,16
서울특별시,성동구,행당2동,내국인,48.55,17
서울특별시,강북구,삼각산동,내국인,48.32,18
서울특별시,관악구,성현동,내국인,48.08,19
서울특별시,동작구,사당4동,내국인,47.82,20
서울특별시,강서구,화곡3동,내국인,47.74,21
서울특별시,중랑구,면목본동,내국인,47.59,22
서울특별시,송파구,삼전동,내국인,47.48,23
서울특별시,강서구,화곡4동,내국인,47.43,24
서울특별시,송파구,거여2동,내국인,47.31,25
서울특별시,은평구,불광2동,내국인,47.06,26
서울특별시,송파구,마천1동,내국인,46.86,27
서울특별시,동작구,사당1동,내국인,46.84,28
서울특별시,중랑구,상봉2동,내국인,46.82,29
서울특별시,은평구,신사2동,내국인,46.79,30
서울특별시,송파구,거여1동,내국인,46.76,31
서울특별시,금천구,독산2동,내국인,46.64,32
서울특별시,강북구,송중동,내국인,46.35,33
서울특별시,강서구,등촌2동,내국인,46.1,34
서울특별시,영등포구,신길6동,내국인,46.08,35
서울특별시,영등포구,신길3동,내국인,46.08,36
서울특별시,송파구,장지동,내국인,46.05,37
서울특별시,관악구,청룡동,내국인,45.93,38
서울특별시,강서구,화곡1동,내국인,45.78,39
서울특별시,서대문구,남가좌2동,내국인,45.76,40
서울특별시,마포구,서교동,내국인,45.36,41
서울특별시,강서구,화곡2동,내국인,45.34,42
서울특별시,구로구,고척1동,내국인,45.25,43
서울특별시,은평구,응암1동,내국인,45.2,44
서울특별시,강동구,명일1동,내국인,45.12,45
서울특별시,강북구,삼양동,내국인,45.07,46
