시군구명,시도명,관광지명,구분,방문자수,위도 (Latitude),경도 (Longitude),,
종로구,서울특별시,경복궁,역사관광지,4137,37.579617,126.977041,,
강서구,서울특별시,서울식물원,자연관광지,3698,37.570691,126.835845,,
용산구,서울특별시,남산서울타워,건축/조형물,3046,37.551169,126.988227,,
송파구,서울특별시,롯데월드 어드벤처,휴양관광지,2670,37.511115,127.098163,,
중구,서울특별시,동대문디자인플라자(DDP),산업관광지,2164,37.566827,127.009363,,
종로구,서울특별시,익선동,체험관광지,2091,37.574483,126.990085,,
성북구,서울특별시,북정마을,체험관광지,1924,37.593611,127.008333,,
중구,서울특별시,덕수궁,역사관광지,1789,37.565804,126.975159,,
구로구,서울특별시,푸른수목원&항동철길,자연관광지,1727,37.482778,126.825833,,
마포구,서울특별시,서울함공원,휴양관광지,1664,37.557778,126.903611,,
종로구,서울특별시,돈의문박물관마을,문화시설,1660,37.56942,126.968277,,
마포구,서울특별시,망원시장,쇼핑,1573,37.556272,126.908027,,
종로구,서울특별시,통인시장,쇼핑,1571,37.580453,126.970105,,       
종로구,서울특별시,부암동,체험관광지,1539,37.588611,126.965833,,
성북구,서울특별시,[북악하늘길 스카이웨이] 하늘한마당~하늘마루,육상 레포츠,1511,37.597778,126.9825,,
강서구,서울특별시,양천향교,역사관광지,1466,37.566389,126.840278,,
종로구,서울특별시,창덕궁과 후원 [유네스코 세계문화유산],역사관광지,1449,37.579434,126.991062,,
송파구,서울특별시,서울 몽촌토성,역사관광지,1395,37.519167,127.113611,,
중구,서울특별시,동대문역사문화공원,휴양관광지,1305,37.565637,127.009056,,
종로구,서울특별시,북촌한옥마을,역사관광지,1270,37.582841,126.983267,,
광진구,서울특별시,아차산,자연관광지,1242,37.553056,127.100833,,
서대문구,서울특별시,서대문형무소역사관,문화시설,1232,37.574676,126.9561,,
도봉구,서울특별시,평화문화진지,문화시설,1223,37.669722,127.054444,,
중구,서울특별시,청계천,휴양관광지,1197,37.569179,126.977862,,
종로구,서울특별시,소소한 풍경,음식점,1147,37.551944,126.920278,,
강북구,서울특별시,초대길,육상 레포츠,1125,37.545833,127.100556,,
송파구,서울특별시,롯데월드타워 서울스카이,건축/조형물,1073,37.512521,127.102575,,
성북구,서울특별시,한국가구박물관,산업관광지,1053,37.6,127.000556,,
종로구,서울특별시,창경궁,역사관광지,1035,37.57843,126.99598,,
종로구,서울특별시,낙산공원,휴양관광지,999,37.580783,127.00835,,
금천구,서울특별시,호암산성,역사관광지,964,37.458611,126.911389,,
노원구,서울특별시,화랑대 철도공원,휴양관광지,949,37.621258,127.088602,,
영등포구,서울특별시,여의도한강공원,휴양관광지,914,37.528256,126.934857,,
강남구,서울특별시,스타필드 코엑스몰,쇼핑,900,37.511944,127.058889,,
도봉구,서울특별시,원당샘공원,휴양관광지,888,37.481667,126.940556,,
성동구,서울특별시,송정제방길,육상 레포츠,874,37.556667,127.065833,,
마포구,서울특별시,홍대,산업관광지,842,37.555893,126.923611,,
노원구,서울특별시,수락산 학림사,역사관광지,808,37.689722,127.085,,
종로구,서울특별시,그라운드시소 서촌,문화시설,676,37.578889,126.970278,,
용산구,서울특별시,국립중앙박물관,문화시설,674,37.523889,126.980278,,
동대문구,서울특별시,배봉산,자연관광지,661,37.574444,127.063889,,
성동구,서울특별시,서울숲,자연관광지,659,37.544422,127.037412,,
중구,서울특별시,문화역 서울 284,산업관광지,657,37.555833,126.972222,,
서대문구,서울특별시,안산,자연관광지,655,37.576111,126.953611,,
중구,서울특별시,남산골한옥마을,역사관광지,635,37.559133,126.993685,,
종로구,서울특별시,북악스카이 팔각정,휴양관광지,625,37.597778,126.9825,,
종로구,서울특별시,경희궁,역사관광지,616,37.570244,126.969145,,
동작구,서울특별시,[충효길코스 1코스] 고구동산길,육상 레포츠,608,37.411667,126.9125,,
노원구,서울특별시,경춘선숲길,육상 레포츠,597,37.620278,127.087778,,
종로구,서울특별시,대원군별장 (석파정),역사관광지,586,37.589882,126.969248,,
종로구,서울특별시,채석장 전망대,건축/조형물,556,37.616389,127.013611,,
서대문구,서울특별시,옥천암(서울),역사관광지,544,37.587222,126.955,,
서초구,서울특별시,세빛섬,자연관광지,527,37.512222,126.99525,,
영등포구,서울특별시,선유도공원,휴양관광지,511,37.545278,126.903889,,
강북구,서울특별시,국립4.19민주묘지,역사관광지,503,37.648333,127.0125,,
송파구,서울특별시,올림픽공원,휴양관광지,494,37.5207,127.1227,,
마포구,서울특별시,경의선숲길(연트럴파크),육상 레포츠,492,37.560556,126.927222,,
