시군구명,시도명,관광지명,구분,방문자수,위도 (Latitude),경도 (Longitude)
중구,서울특별시,동대문디자인플라자(DDP),산업관광지,18609,37.5669,127.0094
성동구,서울특별시,서울숲,자연관광지,17041,37.5436,127.0447
종로구,서울특별시,익선동,체험관광지,14876,37.5745,126.9901
종로구,서울특별시,경복궁,역사관광지,12167,37.5798,126.9768
종로구,서울특별시,창덕궁과 후원 [유네스코 세계문화유산],역사관광지,9525,37.5794,126.9919
종로구,서울특별시,그라운드시소 서촌,문화시설,9259,37.5805,126.9707
종로구,서울특별시,종로3가 귀금속 전문상가,쇼핑,8869,37.571,126.9913
용산구,서울특별시,남산서울타워,건축/조형물,8179,37.5511,126.9882
종로구,서울특별시,광화문,역사관광지,7503,37.576,126.9768
중구,서울특별시,동대문역사문화공원,휴양관광지,7380,37.5658,127.0093
중구,서울특별시,하이커 그라운드,문화시설,7310,37.568,126.9845
송파구,서울특별시,롯데월드타워 서울스카이,건축/조형물,7214,37.5125,127.1026
중구,서울특별시,SK텔레콤 미래기술체험관 T.um(티움),산업관광지,6857,37.5663,126.984
마포구,서울특별시,홍대,산업관광지,6118,37.5553,126.9238
중구,서울특별시,명동,산업관광지,5934,37.5609,126.9861
송파구,서울특별시,롯데월드 어드벤처,휴양관광지,5283,37.5113,127.0982
종로구,서울특별시,인사동,체험관광지,5053,37.5728,126.9845
종로구,서울특별시,서촌마을,체험관광지,5047,37.5797,126.9701
종로구,서울특별시,북촌 8경,역사관광지,4997,37.5828,126.9837
용산구,서울특별시,국립중앙박물관,문화시설,4806,37.524,126.9799
중구,서울특별시,청계천,휴양관광지,4662,37.5692,126.9789
중구,서울특별시,덕수궁,역사관광지,4296,37.5663,126.9751
종로구,서울특별시,창경궁,역사관광지,4260,37.5789,126.9953
중구,서울특별시,남산골한옥마을,역사관광지,4126,37.5592,126.9938
종로구,서울특별시,서울공예박물관,문화시설,4093,37.5785,126.9822
종로구,서울특별시,북촌한옥마을,역사관광지,4076,37.5831,126.9837
용산구,서울특별시,하이브 인사이트,문화시설,4020,37.5264,126.965
강서구,서울특별시,서울식물원,자연관광지,3991,37.5707,126.836
마포구,서울특별시,채그로,쇼핑,3988,37.5559,126.923
강남구,서울특별시,스타필드 코엑스몰,쇼핑,3528,37.5126,127.0589
종로구,서울특별시,목인박물관 목석원,문화시설,3509,37.5747,126.985
도봉구,서울특별시,무수아취,음식점,3345,37.5135,127.0421
서대문구,서울특별시,서대문자연사박물관,문화시설,3320,37.5886,126.9416
강서구,서울특별시,국립항공박물관,문화시설,3295,37.5591,126.8066
노원구,서울특별시,화랑대 철도공원,휴양관광지,3284,37.6202,127.0898
종로구,서울특별시,서울 한양도성(스탬프투어),육상 레포츠,3142,37.5835,127.008
종로구,서울특별시,동대문 종합시장·동대문 쇼핑타운,쇼핑,3091,37.5707,127.0094
영등포구,서울특별시,이랜드크루즈 (한강유람선),휴양관광지,3090,37.5249,126.941
중구,서울특별시,황학동 벼룩시장 (도깨비시장 / 만물시장),쇼핑,2998,37.5714,127.0213
서초구,서울특별시,반포대교 달빛무지개분수,건축/조형물,2896,37.515,126.9947
구로구,서울특별시,구로 중앙유통단지,쇼핑,2851,37.4984,126.8576
종로구,서울특별시,낙산공원,휴양관광지,2827,37.5807,127.0073
용산구,서울특별시,이태원 관광특구,휴양관광지,2819,37.5345,126.9945
종로구,서울특별시,한국교회 100주년 기념관,역사관광지,2811,37.5707,126.9939
중구,서울특별시,덕수궁 돌담길,체험관광지,2753,37.5651,126.9744
중구,서울특별시,신당동 떡볶이 골목,체험관광지,2714,37.5638,127.0157
종로구,서울특별시,동대문 문구완구거리,체험관광지,2690,37.569,127.0125
용산구,서울특별시,서해금빛열차,체험관광지,2681,37.5298,126.9645
중구,서울특별시,써미트 호텔 서울,숙박시설,2654,37.5631,127.0049
성북구,서울특별시,[북악하늘길 스카이웨이] 하늘한마당~하늘마루,육상 레포츠,2645,37.6094,126.9823
영등포구,서울특별시,여의도한강공원,휴양관광지,2643,37.5277,126.9351
서초구,서울특별시,몽마르뜨공원,휴양관광지,2638,37.5029,126.9921
강북구,서울특별시,삼각산,자연관광지,2508,37.6593,126.9774
송파구,서울특별시,롯데월드타워&롯데월드몰,건축/조형물,2462,37.5125,127.1026
성북구,서울특별시,길상사(서울),역사관광지,2458,37.6508,126.926
강남구,서울특별시,일상비일상의틈,산업관광지,2408,37.5029,127.0264
서대문구,서울특별시,김옥길기념관,문화시설,2395,37.5611,126.9423
도봉구,서울특별시,[서울둘레길 1코스] 수락·불암산코스,육상 레포츠,2395,37.6563,127.0126
성동구,서울특별시,성수동 카페거리,체험관광지,2387,37.545,127.0583
구로구,서울특별시,푸른수목원&항동철길,자연관광지,2351,37.4816,126.8153
서초구,서울특별시,세빛섬,자연관광지,2325,37.5126,126.9953
영등포구,서울특별시,문래창작촌,체험관광지,2297,37.5126,126.8925
강남구,서울특별시,봉은사(서울),역사관광지,2294,37.5145,127.058
중구,서울특별시,태극당,음식점,2282,37.5606,127.0048
중구,서울특별시,서울로 7017,휴양관광지,2279,37.5562,126.9705
송파구,서울특별시,송파책박물관,문화시설,2272,37.5029,127.1147
영등포구,서울특별시,스위트팩토리,문화시설,2258,37.5252,126.888
마포구,서울특별시,메타세쿼이아 숲길 (마포구),육상 레포츠,2211,37.5724,126.8839
송파구,서울특별시,올림픽공원,휴양관광지,2158,37.5207,127.1227
종로구,서울특별시,티테라피,음식점,2156,37.5855,126.9856
영등포구,서울특별시,또순이네,음식점,2152,37.5222,126.8926
종로구,서울특별시,서울 동대문 닭한마리 골목,체험관광지,2132,37.5714,127.0118
종로구,서울특별시,광장시장,쇼핑,2129,37.5701,126.9996
종로구,서울특별시,경희궁,역사관광지,2124,37.5714,126.9681
종로구,서울특별시,예린당 바이 버틀러리,숙박시설,2116,37.573,126.9859
종로구,서울특별시,인사동,산업관광지,2079,37.5728,126.9845
강남구,서울특별시,신사동 가로수길,체험관광지,2070,37.521,127.0227
마포구,서울특별시,월드컵공원,휴양관광지,2058,37.5709,126.8832
종로구,서울특별시,청와대,건축/조형물,2034,37.5869,126.9748
강북구,서울특별시,북서울 꿈의숲,자연관광지,2029,37.6214,127.0401
종로구,서울특별시,종묘 [유네스코 세계문화유산],역사관광지,2005,37.5747,126.9938
중구,서울특별시,서울시립미술관(서소문본관),문화시설,1994,37.5833,126.9972
성동구,서울특별시,서울새활용플라자,산업관광지,1971,37.5583,127.0622
영등포구,서울특별시,겟댓샷(Get That Shot),음식점,1939,37.5492,126.9189
종로구,서울특별시,국립현대미술관(서울관),문화시설,1936,37.5791,126.9806
용산구,서울특별시,아모레퍼시픽미술관,문화시설,1935,37.5283,126.965
종로구,서울특별시,런던베이글뮤지엄,음식점,1917,37.5828,126.9863
마포구,서울특별시,AK&홍대,쇼핑,1915,37.5559,126.9248
종로구,서울특별시,서울역사박물관,문화시설,1875,37.5705,126.9701
종로구,서울특별시,도넛정수,음식점,1842,37.5807,126.9904
중구,서울특별시,숭례문,역사관광지,1824,37.5601,126.9753
강북구,서울특별시,도선사(서울),역사관광지,1785,37.6657,127.0163
중구,서울특별시,남대문 갈치조림골목,체험관광지,1760,37.5594,126.9767
종로구,서울특별시,중앙고등학교,역사관광지,1726,37.5843,126.9859
중구,서울특별시,방산 종합시장,쇼핑,1722,37.5678,127.0016
마포구,서울특별시,망원시장,쇼핑,1716,37.556,126.9064
종로구,서울특별시,돈의문박물관마을,문화시설,1684,37.569,126.9691
종로구,서울특별시,세종대왕 동상,건축/조형물,1671,37.5727,126.9769
중구,서울특별시,남대문시장,쇼핑,1642,37.5592,126.9776
종로구,서울특별시,동대문종합시장 한복상가,쇼핑,1635,37.5707,127.0094
