시도명,시군구 명,행정동명,내외국인 구분,비율,순위
서울특별시,금천구,독산4동,내국인,61.78,1
서울특별시,광진구,화양동,내국인,60.54,2
서울특별시,용산구,이태원1동,내국인,59.74,3
서울특별시,강북구,수유3동,내국인,59.61,4
서울특별시,관악구,신림동,내국인,59.61,5
서울특별시,은평구,갈현1동,내국인,59.2,6
서울특별시,송파구,방이2동,내국인,57.48,7
서울특별시,강서구,화곡6동,내국인,56.13,8
서울특별시,서초구,방배2동,내국인,56.02,9
서울특별시,중랑구,상봉2동,내국인,55.82,10
서울특별시,광진구,능동,내국인,55.61,11
서울특별시,관악구,서원동,내국인,55.37,12
서울특별시,중랑구,면목3.8동,내국인,55.04,13
서울특별시,용산구,용산2가동,내국인,55.0,14
서울특별시,은평구,갈현2동,내국인,54.76,15
서울특별시,송파구,잠실본동,내국인,54.05,16
서울특별시,광진구,구의1동,내국인,54.02,17
서울특별시,강동구,천호3동,내국인,53.82,18
서울특별시,강서구,화곡1동,내국인,53.55,19
서울특별시,성동구,사근동,내국인,53.51,20
서울특별시,강서구,화곡4동,내국인,53.03,21
서울특별시,관악구,조원동,내국인,52.62,22
서울특별시,강남구,청담동,내국인,51.92,23
서울특별시,은평구,응암3동,내국인,51.81,24
서울특별시,성동구,왕십리도선동,내국인,51.78,25
서울특별시,강동구,성내2동,내국인,51.38,26
서울특별시,성동구,금호4가동,내국인,51.1,27
서울특별시,성북구,동선동,내국인,50.61,28
서울특별시,중랑구,중화2동,내국인,50.56,29
서울특별시,동대문구,이문2동,내국인,50.44,30
서울특별시,성북구,석관동,내국인,50.38,31
서울특별시,노원구,월계1동,내국인,50.36,32
서울특별시,송파구,거여1동,내국인,50.36,33
서울특별시,마포구,도화동,내국인,50.29,34
서울특별시,중랑구,면목2동,내국인,50.23,35
서울특별시,관악구,낙성대동,내국인,50.17,36
서울특별시,동작구,사당1동,내국인,50.13,37
서울특별시,중랑구,면목본동,내국인,50.02,38
서울특별시,구로구,오류1동,내국인,49.97,39
서울특별시,중랑구,중화1동,내국인,49.7,40
서울특별시,도봉구,창3동,내국인,49.36,41
서울특별시,관악구,신사동,내국인,49.23,42
서울특별시,영등포구,대림3동,내국인,49.09,43
서울특별시,강서구,화곡3동,내국인,49.07,44
서울특별시,성북구,장위1동,내국인,49.05,45
서울특별시,영등포구,당산2동,내국인,48.87,46
서울특별시,동대문구,장안1동,내국인,48.81,47
서울특별시,금천구,시흥4동,내국인,48.78,48
서울특별시,양천구,목2동,내국인,48.61,49
서울특별시,광진구,자양4동,내국인,48.55,50
서울특별시,노원구,중계4동,내국인,48.52,51
서울특별시,성북구,장위2동,내국인,48.34,52
서울특별시,은평구,역촌동,내국인,48.31,53
서울특별시,서초구,서초4동,내국인,48.18,54
서울특별시,광진구,중곡1동,내국인,47.9,55
서울특별시,중랑구,면목4동,내국인,47.88,56
서울특별시,용산구,이태원2동,내국인,47.87,57
서울특별시,성동구,마장동,내국인,47.84,58
서울특별시,금천구,독산2동,내국인,47.83,59
서울특별시,강서구,화곡8동,내국인,47.72,60
서울특별시,중랑구,묵2동,내국인,47.61,61
서울특별시,양천구,신월7동,내국인,47.56,62
서울특별시,강동구,길동,내국인,47.53,63
서울특별시,양천구,신정4동,내국인,47.52,64
