언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
중번체,北村韓屋村(북촌한옥마을),역사관광지,37.582841,126.983267
중번체,景福宮(경복궁),역사관광지,37.579617,126.977041
중번체,廣藏市場(광장시장),쇼핑,37.570125,126.999015
중번체,陳玉華奶奶元祖一隻雞(진옥화할매원조닭한마리),음식점,37.570417,127.006111
중번체,新羅免稅店(首爾店)(신라면세점(서울점)),쇼핑,37.555833,127.005556
중번체,望遠市場(망원시장),쇼핑,37.556272,126.908027
중번체,土俗村參雞湯(토속촌삼계탕),음식점,37.577484,126.972235
중번체,盤浦大橋月光彩虹噴泉(반포대교 달빛무지개분수),건축/조형물,37.515286,126.995582
중번체,奉恩寺(首爾)(봉은사(서울)),역사관광지,37.514658,127.057369
중번체,東大門設計廣場(DDP)(동대문디자인플라자(DDP)),산업관광지,37.566827,127.009363
중번체,南山首爾塔(남산서울타워),건축/조형물,37.551169,126.988227
중번체,南山纜車(남산 케이블카),체험관광지,37.555239,126.981105
중번체,樂天百貨公司(總店)(롯데백화점(본점)),쇼핑,37.561474,126.982181
중번체,樂天免稅店 (總店)(롯데면세점 (본점)),쇼핑,37.561474,126.982181
중번체,樂天世界水族館(롯데월드 아쿠아리움),휴양관광지,37.513056,127.100833
중번체,汝矣島漢江公園(여의도한강공원),휴양관광지,37.528256,126.934857
중번체,昌德宮與後苑 [UNESCO世界文化遺產](창덕궁과 후원 [유네스코 세계문화유산]),역사관광지,37.579434,126.991062
중번체,首爾林(서울숲),휴양관광지,37.544422,127.037412
중번체,新世界百貨公司(總店)(신세계백화점 (본점)),쇼핑,37.560734,126.980598
중번체,首爾京東市場(서울경동시장),쇼핑,37.579628,127.039645
중번체,香港飯店0410(明洞店)(홍콩반점0410(명동점)),음식점,37.562778,126.984167
중번체,三星美術館Leeum(삼성미술관 리움),문화시설,37.538356,126.999743
중번체,Starfield COEX MALL(스타필드 코엑스몰),쇼핑,37.512398,127.058913
중번체,好客空間(HiKR GROUND)(하이커 그라운드),문화시설,37.568482,126.985953
중번체,Goto Mall(高速巴士客運站地下街)(고투몰(강남터미널 지하도상가)),쇼핑,37.505786,127.004835
중번체,樂天世界塔&樂天世界購物城(롯데월드타워&롯데월드몰),건축/조형물,37.512559,127.102538
중번체,德壽宮(덕수궁),역사관광지,37.565804,126.975159
중번체,樂天世界(롯데월드),휴양관광지,37.511115,127.098163
중번체,首爾兒童大公園(서울어린이대공원),휴양관광지,37.549242,127.074668
중번체,樂天世界塔SEOUL SKY(롯데월드타워 서울스카이),건축/조형물,37.512521,127.102575
중번체,Starfield圖書館(별마당도서관),문화시설,37.512583,127.059013
중번체,弘大(홍대),체험관광지,37.555893,126.923611
중번체,明洞聖堂(서울 명동성당),역사관광지,37.563333,126.987222
중번체,COEX水族館(코엑스 아쿠아리움),휴양관광지,37.5125,127.058889
중번체,南山谷韓屋村(남산골한옥마을),역사관광지,37.559133,126.993685
중번체,北村八景(북촌 8경),역사관광지,37.583541,126.973768
중번체,CAPO足球用品店(CAPO Football Store)[韓國觀光品質認證/Korea Quality](카포 풋볼 스토어[한국관광 품질인증/Korea Quality]),쇼핑,37.567825,127.01026
중번체,國立現代美術館首爾館(국립현대미술관 서울),문화시설,37.5785,126.98
중번체,首爾綜合運動場(蠶室綜合運動場)(서울종합운동장(잠실종합운동장)),육상 레포츠,37.515278,127.072778
중번체,纛島漢江公園雪橇場(한강공원 뚝섬 눈썰매장),육상 레포츠,37.529369,127.069485
중번체,Blue Square(블루스퀘어),문화시설,37.537617,127.000109
중번체,新沙洞林蔭道(신사동 가로수길),체험관광지,37.520355,127.022982
중번체,明洞(명동),체험관광지,37.560934,126.986221
중번체,ELAND CRUISE(漢江遊覽船)(이랜드크루즈 (한강유람선)),휴양관광지,37.528091,126.934444
중번체,奧林匹克公園(올림픽공원),휴양관광지,37.5207,127.1227
중번체,馬場畜產品市場(마장 축산물시장),쇼핑,37.575084,127.039233
중번체,東大門文具玩具街(동대문 문구완구거리),체험관광지,37.570138,127.013111
중번체,東大門歷史文化公園(동대문역사문화공원),휴양관광지,37.565637,127.009056
중번체,明洞旅遊資訊中心(명동관광정보센터),체험관광지,37.563229,126.985556
중번체,青瓦臺(청와대),건축/조형물,37.586216,126.974825
중번체,Hello APM購物中心(헬로에이피엠 (Hello apm)),쇼핑,37.567732,127.009489
중번체,景福宮守門將換崗儀式(수문장 교대의식),공연/행사,37.578331,126.976862
중번체,明洞餃子(명동교자),음식점,37.563423,126.984534
중번체,清溪川(청계천),휴양관광지,37.569179,126.977862
중번체,現代I'PARK mall(현대 아이파크몰),쇼핑,37.529241,126.964722
중번체,時代廣場(TIMES SQUARE)(타임스퀘어),쇼핑,37.5172,126.90375
중번체,南山公園(首爾)(남산공원(서울)),휴양관광지,37.551169,126.988227
중번체,金浦機場樂天購物中心(롯데몰 김포공항),쇼핑,37.565908,126.801556
중번체,順美家幸福醬蟹 東大門(순미네행복게장 동대문),음식점,37.571389,127.009167
중번체,明洞亂打劇場(명동난타극장),문화시설,37.564167,126.985278
중번체,三清洞街(삼청동길),체험관광지,37.581563,126.982173
중번체,五花肉大總統_(삼겹살전문점대통령）,음식점,37.561944,126.986111
중번체,Harmoney超市 明洞站店[韓國觀光品質認證/Korea Quality](하모니마트 명동역점[한국관광 품질인증/Korea Quality]),쇼핑,37.560936,126.983997
중번체,德壽宮石牆路(덕수궁 돌담길),체험관광지,37.565985,126.974465
중번체,戰爭紀念館(전쟁기념관),문화시설,37.53716,126.97712
중번체,百年土種蔘雞湯(백년토종삼계탕),음식점,37.581,126.983
중번체,滿足五香豬蹄 弘大( 만족오향족발 홍대 ),음식점,37.566389,126.975278
중번체,狎鷗亭羅德奧街(압구정 로데오거리),체험관광지,37.527318,127.040182
중번체,韓國之家(宮廷飲食體驗)(한국의집),음식점,37.560662,126.994291
중번체,漢江市民公園纛島地區(纛島漢江公園)(한강시민공원 뚝섬지구(뚝섬한강공원)),휴양관광지,37.518611,127.081111
중번체,國立中央博物館(국립중앙박물관),문화시설,37.523889,126.980278
중번체,松坡渡口公園(石村湖)(송파나루공원(석촌호수),휴양관광지,37.509722,127.1025
중번체,咸草醬蟹(함초간장게장),음식점,37.520556,127.026111
중번체,仁寺洞(인사동),체험관광지,37.574444,126.9875
중번체,藝術殿堂(예술의전당),문화시설,37.478648,127.011629
중번체,Burdeng童裝商城(부르뎅아동복),쇼핑,37.559916,126.978416
중번체,梨泰院觀光特區(이태원 관광특구),휴양관광지,37.534281,126.994119
중번체,黑豚家 明洞(흑돈가 명동),음식점,37.562778,126.986667
중번체,昌慶宮(창경궁),역사관광지,37.57843,126.99598
중번체,兒童會館雪橇場(어린이회관 눈썰매장),육상 레포츠,37.551667,127.080556
중번체,駱山公園(낙산공원),휴양관광지,37.580783,127.00835
중번체,The現代首爾(더현대 서울),쇼핑,37.526389,126.928333
중번체,光化門(광화문),역사관광지,37.57599,126.976882
중번체,宗廟 [UNESCO世界文化遺產](종묘 [유네스코 세계문화유산]),역사관광지,37.574722,126.993611
중번체,德壽宮王宮守門將換崗儀式(덕수궁 왕궁수문장교대의식),공연/행사,37.565985,126.974465
중번체,樂天世界室內溜冰場(롯데월드 아이스링크(실내)),육상 레포츠,37.511566,127.098311
중번체,元祖南山炸大豬排 明洞(원조남산왕돈까스 명동),음식점,37.561389,126.983611
중번체,南大門市場(남대문시장),쇼핑,37.559223,126.977662
중번체,清潭洞時尚街(청담패션거리),체험관광지,37.52763,127.04063
중번체,首爾Kidzania(키자니아 서울),체험관광지,37.509722,127.098889
중번체,Davich眼鏡 (明洞店)(다비치안경 (명동점)),쇼핑,37.562222,126.985556
중번체,首爾廣場溜冰場(서울광장 스케이트장),육상 레포츠,37.565709,126.978031
중번체,光化門廣場(광화문광장),휴양관광지,37.575931,126.976843
중번체,現代百貨公司(貿易中心COEX店)(현대백화점 (무역센터점)),쇼핑,37.509167,127.059444
중번체,美利來(Migliore)(東大門店)(밀리오레 (동대문점)),쇼핑,37.568165,127.009139
중번체,廣津橋8街(광진교 8번가),건축/조형물,37.545833,127.105278
중번체,現代百貨公司(狎鷗亭總店)(현대백화점 (압구정본점)),쇼핑,37.527222,127.028056
중번체,鷺梁津水産批發市場(노량진수산물도매시장),쇼핑,37.514444,126.942222
중번체,MARIO折扣購物中心(마리오아울렛),쇼핑,37.476481,126.887553
중번체,Galleria百貨公司名品館(갤러리아백화점 명품관),쇼핑,37.5275,127.040278
