언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
중간체,青瓦台(청와대),건축/조형물,37.5869,126.9748
중간체,景福宫 경복궁,역사관광지,37.5798,126.9768
중간체,北村韩屋村(북촌한옥마을),역사관광지,37.5831,126.9837
중간체,南山首尔塔(남산서울타워),건축/조형물,37.5511,126.9882
중간체,梨泰院观光特区(이태원 관광특구),휴양관광지,37.5345,126.9945
중간체,仁寺洞(인사동),산업관광지,37.5728,126.9845
중간체,昌德宫和后苑[联合国教科文组织世界文化遗产]창덕궁과 후원 [유네스코 세계문화유산],역사관광지,37.5794,126.9919
중간체,乐天世界塔SEOUL SKY롯데월드타워 서울스카이,건축/조형물,37.5125,127.1026
중간체,首尔林(서울숲),자연관광지,37.5436,127.0447
중간체,汝矣岛汉江公园여의도한강공원,휴양관광지,37.5277,126.9351
중간체,奉恩寺(首尔)봉은사(서울),역사관광지,37.5145,127.058
중간체,德寿宫(덕수궁),역사관광지,37.5663,126.9751
중간체,乐天世界(롯데월드),휴양관광지,37.5111,127.0982
중간체,南山谷韩屋村(남산골한옥마을),역사관광지,37.5592,126.9938
중간체,国技院(世界跆拳道本部)국기원(세계태권도본부),문화시설,37.502,127.0298
중간체,HiKR Ground(好客空间) 하이커 그라운드,문화시설,37.568,126.9845
중간체,盘浦大桥月光彩虹喷泉반포대교 달빛무지개분수,건축/조형물,37.515,126.9947
중간체,光化门광화문,역사관광지,37.576,126.9768
중간체,汉江（한강）,자연관광지,37.5277,126.9351
중간체,新沙洞林荫路(신사동 가로수길),체험관광지,37.521,127.0227
중간체,清溪川(청계천),휴양관광지,37.5692,126.9789
중간체,弘大(홍대),산업관광지,37.5553,126.9238
중간체,仁王山(인왕산),자연관광지,37.5835,126.9602
중간체,世宗大王铜像(세종대왕 동상),건축/조형물,37.5727,126.9769
중간체,昌庆宫(창경궁),역사관광지,37.5789,126.9953
중간체,乐天世界水族馆(롯데월드 아쿠아리움),휴양관광지,37.5132,127.1002
중간체,清溪山(청계산),자연관광지,37.4429,127.0601
중간체,战争纪念馆(전쟁기념관),문화시설,37.53716,126.97712
중간체,光化门广场(광화문광장),휴양관광지,37.573,126.9766
중간체,东大门设计广场(DDP)동대문디자인플라자(DDP),산업관광지,37.5669,127.0094
중간체,国立现代美术馆(首尔馆)국립현대미술관(서울관),문화시설,37.5791,126.9806
중간체,三清洞路(삼청동길),체험관광지,37.5834,126.9825
중간체,峨嵯山(아차산),자연관광지,37.5583,127.1018
중간체,Blue Square블루스퀘어,문화시설,37.5367,127.0003
중간체,首尔路 7017 <br >서울로 7017,휴양관광지,37.5562,126.9705
중간체,明洞(명동),산업관광지,37.5609,126.9861
중간체,宗庙[联合国教科文组织世界文化遗产](종묘 [유네스코 세계문화유산]),역사관광지,37.5747,126.9938
중간체,奥林匹克公园(올림픽공원),휴양관광지,37.5207,127.1227
중간체,Starfield图书馆별마당도서관,문화시설,37.5099,127.059
중간체,国立中央博物馆(국립중앙박물관),문화시설,37.524,126.9799
중간체,庆熙宫(경희궁),역사관광지,37.5714,126.9681
중간체,骆山公园(낙산공원),휴양관광지,37.5807,127.0073
